Cultivo;Año;Campaña;País;Participación cultivo país;Precio Cultivo USD;Participacion en exportacion;Provincia;ID Provincia;Departamento;ID Departamento;HA sembradas;HA cosechadas;Proporción siembre/cosecha;TM produccion;Rendimiento (Kg x Ha);Categoria rendimiento
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;25 de Mayo;6854;84840;84340;99.41%;266364;3158;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;9 de Julio;6588;165300;164000;99.21%;454200;2770;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Adolfo Alsina;6007;72500;70000;96.55%;96500;1379;BAJO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Adolfo Gonzales Chaves;6014;70300;70300;100.00%;98450;1400;BAJO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Alberti;6021;41120;40748;99.10%;96864;2377;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Arrecifes;6077;72850;72850;100.00%;250740;3442;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Ayacucho;6042;4200;4130;98.33%;8064;1953;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Azul;6049;87000;85800;98.62%;176300;2055;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Bahía Blanca;6056;2750;2750;100.00%;4345;1580;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Balcarce;6063;55000;54200;98.55%;107100;1976;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Baradero;6070;56650;56650;100.00%;181610;3206;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Benito Juárez;6084;88000;87050;98.92%;180820;2077;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Bolívar;6105;136000;136000;100.00%;333600;2453;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Bragado;6112;107600;105973;98.49%;305086;2879;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Campana;6126;5950;5950;100.00%;19980;3358;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Cañuelas;6134;19400;19400;100.00%;57860;2982;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Capitán Sarmiento;6140;37900;37900;100.00%;140930;3718;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Carlos Casares;6147;114500;108500;94.76%;222450;2050;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Carlos Tejedor;6154;133500;128500;96.25%;271300;2111;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Carmen de Areco;6161;38500;38500;100.00%;130450;3388;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Castelli;6168;13300;13130;98.72%;27102;2064;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Chacabuco;6210;138000;138000;100.00%;529200;3835;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Chascomús;6218;24500;23900;97.55%;76900;3218;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Chivilcoy;6224;101000;99990;99.00%;347886;3479;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Colón;6175;62700;62700;100.00%;259890;4145;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Coronel de Marina Leonardo Rosales;6182;800;800;100.00%;1312;1640;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Coronel Dorrego;6189;66500;66500;100.00%;97300;1463;BAJO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Coronel Pringles;6196;27800;27800;100.00%;44300;1594;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Coronel Suárez;6203;108000;104600;96.85%;205900;1968;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Daireaux;6231;97000;97000;100.00%;213900;2205;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Dolores;6238;5000;4935;98.70%;9579;1941;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Exaltación de la Cruz;6266;12250;12250;100.00%;43190;3526;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Florentino Ameghino;6277;73700;71500;97.01%;175420;2453;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;General Alvarado;6280;28000;27650;98.75%;59325;2146;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;General Alvear;6287;52000;52000;100.00%;123000;2365;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;General Arenales;6294;104500;104500;100.00%;404400;3870;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;General Belgrano;6301;26160;25360;96.94%;71840;2833;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;General Juan Madariaga;6315;12800;12630;98.67%;31120;2464;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;General La Madrid;6322;33000;31200;94.55%;90300;2894;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;General Las Heras;6329;4000;4000;100.00%;14120;3530;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;General Pinto;6351;96900;94900;97.94%;260610;2746;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;General Pueyrredón;6357;21800;21550;98.85%;49175;2282;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;General Rodríguez;6364;2200;2200;100.00%;7640;3473;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;General Viamonte;6385;93600;91600;97.86%;281820;3077;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;General Villegas;6392;282200;279500;99.04%;666550;2385;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Guaminí;6399;77500;77500;100.00%;151250;1952;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Hipólito Yrigoyen;6406;63500;63500;100.00%;155350;2446;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Junín;6413;146700;146700;100.00%;528080;3600;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Laprida;6448;16700;16700;100.00%;28860;1728;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Las Flores;6455;41560;40660;97.83%;128416;3158;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Leandro N. Alem;6462;126400;124600;98.58%;409220;3284;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Lincoln;6469;168400;164900;97.92%;446300;2706;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Lobería;6476;68000;67050;98.60%;129895;1937;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Lobos;6483;49320;47820;96.96%;144108;3014;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Luján;6497;12400;12400;100.00%;41580;3353;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Maipú;6511;20700;20370;98.41%;41574;2041;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Mar Chiquita;6518;8000;7905;98.81%;16213;2051;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Marcos Paz;6525;6600;6600;100.00%;23320;3533;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Mercedes;6532;18000;17300;96.11%;47100;2723;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Monte;6547;37075;36125;97.44%;110713;3065;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Navarro;6574;47700;47200;98.95%;144100;3053;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Necochea;6581;149237;149237;100.00%;292974;1963;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Olavarría;6595;97000;97000;100.00%;233800;2410;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Patagones;6602;350;350;100.00%;770;2200;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Pehuajó;6609;168900;160900;95.26%;339030;2107;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Pellegrini;6616;41000;38500;93.90%;65900;1712;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Pergamino;6623;190800;190800;100.00%;723820;3794;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Pilar;6638;1800;1800;100.00%;6120;3400;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Puán;6651;1700;1100;64.71%;1060;964;BAJO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Ramallo;6665;65500;65500;100.00%;233740;3569;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Rauch;6672;9400;9260;98.51%;19651;2122;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Rivadavia;6679;180000;170000;94.44%;301400;1773;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Rojas;6686;113500;113500;100.00%;457100;4027;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Roque Pérez;6693;57720;56720;98.27%;172240;3037;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Saavedra;6700;31000;26400;85.16%;39320;1489;BAJO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Saladillo;6707;69360;68560;98.85%;210920;3076;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Salliqueló;6721;25500;25500;100.00%;39750;1559;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Salto;6714;106000;106000;100.00%;401445;3787;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;San Andrés de Giles;6728;49800;49800;100.00%;162600;3265;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;San Antonio de Areco;6735;50050;50050;100.00%;182465;3646;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;San Cayetano;6742;88800;88800;100.00%;129000;1453;BAJO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;San Nicolás;6763;42100;42100;100.00%;151780;3605;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;San Pedro;6770;58200;58200;100.00%;207640;3568;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Suipacha;6784;19500;19050;97.69%;51750;2717;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Tandil;6791;160000;158650;99.16%;367060;2314;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Tapalqué;6798;1500;1500;100.00%;3450;2300;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Tornquist;6819;7300;4700;64.38%;4660;991;BAJO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Trenque Lauquen;6826;190000;179000;94.21%;289500;1617;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Tres Arroyos;6833;112700;112700;100.00%;190860;1694;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Tres Lomas;6847;29000;29000;100.00%;48300;1666;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Villarino;6875;400;400;100.00%;928;2320;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Buenos Aires;6;Zárate;6882;27200;27200;100.00%;95320;3504;ALTO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Catamarca;10;El Alto;10056;26500;26500;100.00%;58300;2200;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Catamarca;10;Santa Rosa;10098;26500;26500;100.00%;58300;2200;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Chaco;22;12 de Octubre;22036;89000;89000;100.00%;209150;2350;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Chaco;22;2 de Abril;22039;45500;45500;100.00%;106925;2350;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Chaco;22;25 de Mayo;22168;320;300;93.75%;540;1800;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Chaco;22;9 de Julio;22105;73000;73000;100.00%;182500;2500;MEDIO
Soja;2010;2010/11;Argentina;54.37%;262.13;18,50%;Chaco;22;Almirante Brown;22007;153000;153000;100.00%;382500;2500;MEDIO
